+-----------+--------------+-----------+
| Character |    Symbol    | Frequency |
+-----------+--------------+-----------+
|    \n     |   10000011   |     27    |
|           |     011      |    1277   |
|     .     |   1000011    |     67    |
|     3     |  1100000001  |     6     |
|     ?     |  100000011   |     13    |
|     A     |  100000001   |     11    |
|     C     |  1000001010  |     2     |
|     E     |   11000001   |     33    |
|     H     |  1000001000  |     3     |
|     I     |  1000001001  |     5     |
|     L     |    01010     |     1     |
|     N     |  1000001011  |     6     |
|     Q     |  100000000   |     9     |
|     R     | 110000000001 |     1     |
|     S     |  100000010   |     8     |
|     U     | 11000000001  |     2     |
|     V     | 110000000000 |     1     |
|     a     |     1011     |    612    |
|     b     |   1100001    |     84    |
|     c     |    01001     |    206    |
|     d     |    10100     |    261    |
|     e     |     001      |    780    |
|     f     |   0100001    |     36    |
|     g     |   1000010    |     40    |
|     h     |  110000001   |     23    |
|     i     |     1111     |    775    |
|     l     |    11001     |    325    |
|     m     |     0001     |    381    |
|     n     |     0000     |    346    |
|     o     |    01011     |    479    |
|     p     |    10001     |    218    |
|     q     |    110001    |    162    |
|     r     |    10101     |    342    |
|     s     |     1001     |    541    |
|     t     |     1110     |    660    |
|     u     |     1101     |    642    |
|     v     |    010001    |     94    |
|     x     |   0100000    |     33    |
+-----------+--------------+-----------+
