+-----------+-------------+-----------+
| Character |    Symbol   | Frequency |
+-----------+-------------+-----------+
|    \n     |   0010001   |     53    |
|           |     1111    |    2420   |
|     !     |  0100000001 |     8     |
|     .     |    001001   |    128    |
|     3     |  110000001  |     24    |
|     ?     |  010000011  |     22    |
|     A     |   00100001  |     27    |
|     C     | 01000000000 |     2     |
|     E     |   0100001   |     63    |
|     H     | 11000000001 |     4     |
|     I     |  001000000  |     11    |
|     L     |    10010    |     1     |
|     N     |  010000010  |     10    |
|     Q     |  010000001  |     17    |
|     R     | 01000000001 |     2     |
|     S     |  001000001  |     15    |
|     U     |  1100000001 |     8     |
|     V     | 11000000000 |     3     |
|     a     |     1101    |    1135   |
|     b     |    100000   |    154    |
|     c     |    01001    |    424    |
|     d     |    10001    |    506    |
|     e     |     0111    |    1502   |
|     f     |   1100001   |     87    |
|     g     |   0100011   |     79    |
|     h     |   11000001  |     42    |
|     i     |     1011    |    1457   |
|     l     |    11001    |    577    |
|     m     |     0101    |    698    |
|     n     |     0011    |    657    |
|     o     |    10011    |    893    |
|     p     |    00101    |    398    |
|     q     |    110001   |    301    |
|     r     |     0110    |    661    |
|     s     |     1010    |    997    |
|     t     |     000     |    1242   |
|     u     |     1110    |    1200   |
|     v     |    100001   |    187    |
|     x     |   0100010   |     59    |
+-----------+-------------+-----------+
